X,Y,Z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.474768,-0.304976,-0.1559364
0.4722044,-0.3057441,-0.1542675
0.4695646,-0.3065378,-0.152603
0.4684183,-0.3068172,-0.151859
0.4683508,-0.3067613,-0.1516337
0.4683037,-0.3067008,-0.1512372
0.4683225,-0.3065847,-0.1507268
0.4675564,-0.3068047,-0.1498989
0.4678072,-0.3063105,-0.1491121
0.4670329,-0.3059634,-0.1480224
0.4656904,-0.3058506,-0.1469072
0.4645831,-0.3051262,-0.1455013
0.4633169,-0.3043336,-0.1437355
0.4624396,-0.3032159,-0.1416468
0.46142,-0.3019123,-0.1388503
0.4614794,-0.2990483,-0.134558
0.4595989,-0.297981,-0.1312609
0.4584658,-0.295181,-0.1263093
0.4572951,-0.2917568,-0.120503
0.4552961,-0.2895505,-0.1156977
0.454838,-0.2833849,-0.1054141
0.4535699,-0.2783456,-0.09587655
0.4513068,-0.2749463,-0.0884944
0.4492243,-0.2664396,-0.07341816
0.4466258,-0.2621325,-0.06494646
0.4436229,-0.2524551,-0.04754094
0.4410706,-0.2476483,-0.03813829
0.4376597,-0.2376579,-0.01922467
0.435389,-0.2327528,-0.009707481
0.4329919,-0.2255621,0.004204176
0.4308771,-0.2188208,0.01750601
0.4290557,-0.2126107,0.02977146
0.4272391,-0.2069088,0.04057473
0.4254214,-0.2016238,0.0496227
0.4236972,-0.196743,0.05701089
0.4222382,-0.1922779,0.06309049
0.4216125,-0.1894103,0.06643381
0.4204792,-0.1850747,0.07270761
0.4202153,-0.1829782,0.07519808
0.419165,-0.1801642,0.08015764
0.4187959,-0.1786612,0.08205174
0.4181173,-0.1768668,0.08452667
0.4175453,-0.1752121,0.08629802
0.416987,-0.173792,0.08759119
0.4165132,-0.1727133,0.0886383
0.4163884,-0.1719169,0.0896165
0.4169436,-0.1712532,0.09043063
0.4169804,-0.1714775,0.09155891
0.4173245,-0.1708292,0.09183958
0.4176191,-0.1701977,0.09176596
0.4178098,-0.1693633,0.09151798
0.4180069,-0.1684584,0.09102745
0.4185015,-0.1672334,0.0900737
0.4188656,-0.1663942,0.08933997
0.4191748,-0.1657342,0.08877386
0.4195307,-0.1652285,0.08820336
0.4199865,-0.1648589,0.08791408
0.4203504,-0.1645695,0.08771841
0.4208821,-0.1644224,0.08765844
0.4215699,-0.1640879,0.08743598
0.4219852,-0.1638879,0.08732682
0.4225173,-0.1636772,0.08721782
0.4228559,-0.1634621,0.08706297
0.4236332,-0.1628787,0.08667897
0.4239924,-0.1625265,0.08647271
0.4241652,-0.1623403,0.08635441
0.4242594,-0.1621636,0.08626243
0.4243012,-0.1621295,0.0862858
0.4244875,-0.162083,0.08630534
0.4246255,-0.1620381,0.08630981
0.4248369,-0.1619397,0.08629781
0.425,-0.1618073,0.08623207
0.4249865,-0.1616826,0.08615179
0.4248601,-0.1615678,0.08609586
0.4247266,-0.1614867,0.08608316
0.4246396,-0.1613736,0.08604796
0.4246251,-0.161241,0.08601364
0.4247693,-0.1611738,0.08604199
0.4249503,-0.1611676,0.08614333
0.4250923,-0.1611257,0.0862737
0.4251578,-0.1610319,0.08633903
0.4251252,-0.1609249,0.08632575
0.4250697,-0.1608205,0.08628912
0.4249001,-0.1605475,0.08609244
0.4248369,-0.1603556,0.08595337
0.4248262,-0.1602657,0.08592144
0.4248659,-0.1602392,0.08598192
0.424965,-0.1602842,0.08609096
0.4250475,-0.1603127,0.08618713
0.4251203,-0.1602833,0.08624563
0.4252122,-0.1602132,0.0862962
0.4252989,-0.1601549,0.0863219
0.4255017,-0.160069,0.0864567
0.4255666,-0.1600497,0.08657648
0.4256361,-0.1600774,0.08676308
0.4256846,-0.1601416,0.08698447
0.4257633,-0.1602296,0.08720601
0.4258344,-0.1603444,0.08738079
0.4258831,-0.1604869,0.08753026
0.4259267,-0.1606734,0.08765642
0.4260703,-0.1608733,0.08786385
0.4263304,-0.1611027,0.08813184
0.4265754,-0.1612801,0.08840518
0.4268911,-0.1614872,0.08872764
0.4272742,-0.1618503,0.08916734
0.4275187,-0.1621242,0.08948093
0.427635,-0.1621856,0.08951738
0.4278598,-0.1623017,0.08965105
0.4282253,-0.1624262,0.08975688
0.4292976,-0.1629129,0.0902881
0.430143,-0.1633033,0.09071118
0.4314623,-0.1639092,0.09132098
0.432388,-0.1643717,0.09171061
0.4330607,-0.1647253,0.09194064
0.4335928,-0.1650348,0.09202957
0.4341904,-0.1654121,0.0920665
0.4347593,-0.1657338,0.09212469
0.4352782,-0.1660341,0.09220746
0.4356626,-0.1662277,0.09227651
0.4362018,-0.1664796,0.09232973
0.4369279,-0.1668093,0.09234818
0.4378128,-0.1672135,0.09231962
0.43863,-0.1675646,0.09216732
0.4394816,-0.1679152,0.09193856
0.4404637,-0.1683447,0.09168112
0.4415362,-0.1687804,0.09139962
0.4425674,-0.169152,0.09109266
0.4437695,-0.1695221,0.0906727
0.4451529,-0.1699099,0.09017132
0.4464898,-0.170269,0.08973052
0.4485485,-0.1706858,0.08900933
0.4503585,-0.1710826,0.08845494
0.4529808,-0.1715205,0.08769824
0.4552072,-0.1719222,0.08706927
0.4581922,-0.1723793,0.08612169
0.4607005,-0.1728328,0.0852811
0.4635513,-0.173262,0.08427983
0.4664338,-0.1737033,0.08314706
0.4693791,-0.1741526,0.08194931
0.4724646,-0.1746207,0.08072144
0.4758008,-0.1751523,0.07950255
0.479328,-0.1757346,0.07841118
0.4828502,-0.1763773,0.07732368
0.4861215,-0.1769937,0.07619652
0.4891824,-0.177749,0.07458213
0.4918196,-0.1784028,0.07281002
0.4941598,-0.1789557,0.07090346
0.4965388,-0.1794865,0.06911387
0.4986158,-0.1800207,0.06705172
0.5010417,-0.1805547,0.0653296
0.5034896,-0.1811248,0.06366269
0.5060042,-0.1817379,0.06215148
0.5083463,-0.1823641,0.06071582
0.5103194,-0.1829571,0.05917499
0.511893,-0.183414,0.05743893
0.5134877,-0.1837955,0.05562262
0.5146411,-0.1840127,0.05348656
0.5157959,-0.1840961,0.05125794
0.5170023,-0.1841447,0.04910507
0.518234,-0.1842012,0.0470908
0.5194497,-0.1842633,0.04525249
0.5206134,-0.184329,0.04354696
0.5216888,-0.1844129,0.04192726
0.5225906,-0.184508,0.04040403
0.5233304,-0.1846238,0.03895579
0.5238903,-0.1847469,0.03759713
0.5243747,-0.1848403,0.03628197
0.5248387,-0.1848941,0.0350284
0.5252684,-0.1848992,0.03383498
0.525635,-0.1848582,0.03272656
0.5256338,-0.1847894,0.03240661
0.5256984,-0.1846832,0.03183616
0.5257846,-0.184572,0.03113379
0.5259182,-0.1844776,0.03010856
0.5259645,-0.184392,0.02925785
0.5259907,-0.1842644,0.02856412
0.5260159,-0.1840866,0.02794077
0.5260239,-0.1838696,0.0273726
0.5260261,-0.1836346,0.02693009
0.5260474,-0.1834036,0.02648553
0.5261134,-0.1831868,0.02606597
0.5261791,-0.18299,0.02573236
0.5262216,-0.1828197,0.02549943
0.5262715,-0.1825554,0.02506423
0.5263062,-0.1822033,0.02445428
0.5263683,-0.1818639,0.02389692
0.5264267,-0.1815593,0.02347318
0.5264325,-0.181233,0.02306882
0.5263901,-0.1810314,0.02285567
0.5262526,-0.1807622,0.02269564
0.5261788,-0.1806886,0.02273357
0.5260875,-0.1806773,0.02289082
0.525974,-0.1805737,0.02294401
0.5257934,-0.1804068,0.02296088
0.5255581,-0.1802472,0.02297528
0.5251851,-0.1799645,0.02296509
0.5246146,-0.1795471,0.02292594
0.5242488,-0.1793124,0.02292471
0.5238474,-0.1791114,0.0230251
0.5236568,-0.1790804,0.02318387
0.5233868,-0.1790215,0.02335926
0.5229312,-0.1788948,0.02358595
0.5223328,-0.1787242,0.02376396
0.5217168,-0.1785414,0.02384698
0.5210571,-0.1783587,0.02389717
0.52066,-0.1782417,0.02390524
0.5202045,-0.1780997,0.0239418
0.5201359,-0.1780803,0.02400027
0.5201582,-0.1781168,0.02410966
0.5200133,-0.1781266,0.0242692
0.5197041,-0.1781137,0.02446239
0.5195844,-0.1781166,0.02445765
0.5195066,-0.1780969,0.02437217
0.5193219,-0.1780659,0.02432262
0.5192583,-0.17806,0.02429786
0.5192389,-0.1781206,0.02435706
0.5191917,-0.1781879,0.02445919
0.5191164,-0.1783101,0.02463143
0.5190616,-0.1784928,0.02484629
0.5190291,-0.1786439,0.02497411
0.5190004,-0.1787365,0.02499836
0.519,-0.1788109,0.0249566
0.5190052,-0.1789429,0.0249972
0.5190362,-0.1791317,0.0251431
0.5191708,-0.1794204,0.02546304
0.5193976,-0.1796171,0.0257208
0.5199438,-0.1798657,0.02605287
0.5206486,-0.1799686,0.02614311
0.5211396,-0.1799988,0.02603848
0.5213174,-0.179917,0.02576639
0.521412,-0.1798414,0.02548892
0.521457,-0.1797786,0.02522025
0.5213821,-0.1797268,0.02505147
0.5212912,-0.1796975,0.02498514
0.5213418,-0.1797162,0.0249362
0.521446,-0.1797423,0.02488469
0.5215375,-0.1797501,0.02483504
0.5215832,-0.1797409,0.02478359
0.5215265,-0.1797417,0.02469725
0.5214106,-0.1797353,0.02461392
0.521315,-0.1797183,0.02448818
0.5212155,-0.1796947,0.02434374
0.521111,-0.1796726,0.02420364
0.5210328,-0.1796781,0.02413374
0.5209099,-0.1797022,0.0240391
0.5207801,-0.1797295,0.02401105
0.5206687,-0.1797619,0.02399724
0.5206157,-0.1797803,0.02399958
0.5205951,-0.1797763,0.02394063
0.5205713,-0.179723,0.02380092
0.5204828,-0.1796756,0.02354166
0.5203059,-0.179616,0.02320534
0.5201093,-0.1795505,0.0230225
0.5199461,-0.1795196,0.02311653
0.519802,-0.1794915,0.02321143
0.5195301,-0.1794463,0.02324661
0.5191724,-0.1793889,0.02336298
0.5188954,-0.1793511,0.02345967
0.5186577,-0.1793219,0.0234968
0.5183062,-0.1793202,0.02348601
0.5177854,-0.1793421,0.02350173
0.5169079,-0.1793513,0.02362815
0.5160082,-0.179331,0.02381045
0.5141077,-0.1792249,0.02430888
0.5132231,-0.1791157,0.02456606
0.5121921,-0.1788955,0.02485232
0.5113378,-0.1786152,0.02506397
0.5107742,-0.178385,0.02518571
0.5098479,-0.1781033,0.02538023
0.5079781,-0.1776554,0.0256828
0.5059109,-0.1771148,0.02604942
0.5042695,-0.1766257,0.02641893
0.5031105,-0.1762439,0.02681429
0.5020478,-0.1758955,0.02728866
0.5000097,-0.1752752,0.02811043
0.4983489,-0.1748292,0.02876775
0.4964648,-0.1743692,0.02930239
0.4946201,-0.1739225,0.02975102
0.4923447,-0.1734663,0.03010402
0.4899032,-0.1730767,0.03052324
0.4871722,-0.1727953,0.03116624
0.48414,-0.1726547,0.0322809
0.4807948,-0.1727265,0.03403062
0.4774409,-0.172953,0.03610158
0.4725604,-0.1741217,0.04005186
0.4680595,-0.175049,0.04314077
0.4621123,-0.1766693,0.04693776
0.4554414,-0.1785587,0.05076934
0.4485098,-0.1808493,0.05474469
0.4417126,-0.1834339,0.05920909
0.4349377,-0.186367,0.06422335
0.4286565,-0.1892758,0.06939469
0.4220259,-0.1933632,0.07637437
0.4152742,-0.1984222,0.08465416
0.4086988,-0.2028384,0.09199572
0.402272,-0.2066919,0.09865271
0.3959616,-0.2106462,0.1055968
0.3899099,-0.2140649,0.1119268
0.3845034,-0.2172599,0.1182297
0.3788584,-0.220237,0.1244981
0.3733732,-0.2231404,0.1312223
0.367754,-0.2263577,0.1384622
0.3618007,-0.2302085,0.1460807
0.3554622,-0.2347949,0.1538505
0.3486807,-0.2393421,0.1620188
0.3420486,-0.2432374,0.1703619
0.3356667,-0.2465765,0.1783222
0.3293302,-0.2489145,0.1864981
0.3229959,-0.2513922,0.194466
0.3167196,-0.254363,0.2026007
0.3107573,-0.2581915,0.2111616
0.3054075,-0.2628278,0.2206117
0.300732,-0.2680122,0.2304698
0.296188,-0.2731214,0.2401195
0.2942959,-0.2795918,0.2510626
0.2918467,-0.2848951,0.2615649
0.2916583,-0.2901551,0.2729231
0.2914879,-0.2954022,0.2836584
0.2912007,-0.3005751,0.2937566
0.2908277,-0.3060935,0.3033464
0.2904752,-0.3124899,0.3124868
0.2905952,-0.3195985,0.3215988
0.2911469,-0.326684,0.3303758
0.2920503,-0.3331667,0.3385772
0.2928656,-0.3387945,0.3465508
0.2943392,-0.3432122,0.3530082
0.295559,-0.347111,0.3585935
0.2966442,-0.3510107,0.3628709
0.2969554,-0.3546622,0.3665738
0.2961516,-0.3582998,0.3700441
0.2945815,-0.3615745,0.3732196
0.292723,-0.363624,0.3759754
0.2909147,-0.3643674,0.3782744
0.2890781,-0.3633882,0.3800397
0.2871715,-0.3612515,0.3817691
0.2845741,-0.3580695,0.3833311
0.2809614,-0.3542753,0.3851802
0.2769151,-0.3513827,0.3874297
0.2705942,-0.3475125,0.3893531
0.2613768,-0.3438691,0.3913106
0.2544359,-0.3415489,0.3938119
0.2465125,-0.33906,0.3968398
0.2384953,-0.3367495,0.4002925
0.2305143,-0.3348089,0.4041334
0.2223618,-0.3333335,0.4080691
0.2134245,-0.3327034,0.411753
0.2037386,-0.3323051,0.4152187
0.1933649,-0.3320019,0.4178625
0.1825155,-0.331314,0.4192209
0.1711489,-0.3304175,0.4199114
0.1593888,-0.3298041,0.4209412
0.1482778,-0.3293983,0.4228183
0.1377295,-0.3289669,0.4250925
0.1271393,-0.3289676,0.4275565
0.1166215,-0.3292018,0.4293964
0.1058343,-0.3298826,0.4309334
0.09499764,-0.3308122,0.4327498
0.08401354,-0.3319041,0.4342456
0.07296208,-0.3329256,0.4357503
0.06188716,-0.3339789,0.4373178
0.05098206,-0.3349259,0.439048
0.04026024,-0.3364083,0.4408413
0.02979122,-0.3383834,0.4424062
0.01962334,-0.3410247,0.4439239
0.009834953,-0.3445092,0.4452105
0.0003277957,-0.3478511,0.4466025
-0.009011567,-0.3512219,0.4482767
-0.01823415,-0.3542908,0.4499817
-0.02696858,-0.3570118,0.4514328
-0.03523679,-0.359702,0.4526235
-0.0428741,-0.3626617,0.4538059
-0.04951746,-0.3662523,0.4553447
-0.05627268,-0.3698475,0.456903
-0.06167272,-0.3739488,0.4587035
-0.06683552,-0.3781241,0.4606702
-0.07095852,-0.3822549,0.4625322
-0.07550885,-0.3853797,0.4636846
-0.08054061,-0.3881422,0.4648035
-0.08490152,-0.3898071,0.4655956
-0.08925097,-0.3907515,0.4662668
-0.09334444,-0.3912629,0.4669257
-0.09699888,-0.3916007,0.4678419
-0.1001518,-0.3923199,0.4692868
-0.1026568,-0.3939346,0.47094
-0.1048908,-0.3961134,0.4726116
-0.1075098,-0.3983324,0.4742288
-0.1091475,-0.400786,0.4759249
-0.1115704,-0.4026799,0.4773082
-0.1133295,-0.4040298,0.4785773
-0.1156404,-0.405572,0.479904
-0.11759,-0.4069859,0.4809808
-0.1193444,-0.4084473,0.4819228
-0.1208167,-0.4099436,0.4829102
-0.1221389,-0.4113965,0.4841772
-0.1233373,-0.4129616,0.4860889
-0.1243007,-0.4145638,0.4884029
-0.124755,-0.4161766,0.4907857
-0.124933,-0.4179107,0.492833
-0.1249369,-0.4198487,0.4944107
-0.1259591,-0.4215467,0.4961348
-0.1269812,-0.4232446,0.4978587
-0.1280033,-0.4249425,0.4995826
-0.1290254,-0.4266404,0.5013066
-0.1300475,-0.4283382,0.5030305
-0.1310696,-0.4300361,0.5047544
-0.1320917,-0.431734,0.5064783
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
-0.126842,-0.4245085,0.5021338
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,